BOS CELTICS, 0022200869, Feb 14, @ MIL, 131 - 125, Fiserv Forum, Week 18
BOS CELTICS, 0022200877, Feb 15, vs DET, 109 - 127, TD Garden, Week 18
BOS CELTICS, 0022200887, Feb 23, @ IND, 138 - 142, Gainbridge Fieldhouse, Week 19
BOS CELTICS, 0022200908, Feb 25, @ PHI, 107 - 110, Wells Fargo Center, Week 19
BOS CELTICS, 0022200921, Feb 27, @ NYK, 109 - 94, Madison Square Garden, Week 20
BOS CELTICS, 0022200935, Mar 1, vs CLE, 113 - 117, TD Garden, Week 20
BOS CELTICS, 0022200948, Mar 3, vs BKN, 115 - 105, TD Garden, Week 20
BOS CELTICS, 0022200969, Mar 5, vs NYK, 131 - 129, TD Garden, Week 20
BOS CELTICS, 0022200971, Mar 6, @ CLE, 118 - 114, Rocket Mortgage FieldHouse, Week 21
BOS CELTICS, 0022200986, Mar 8, vs POR, 93 - 115, TD Garden, Week 21
BOS CELTICS, 0022201008, Mar 11, @ ATL, 125 - 134, State Farm Arena, Week 21
BOS CELTICS, 0022201024, Mar 13, @ HOU, 111 - 109, Toyota Center, Week 22
BOS CELTICS, 0022201039, Mar 15, @ MIN, 102 - 104, Target Center, Week 22
BOS CELTICS, 0022201053, Mar 17, @ POR, 112 - 126, Moda Center, Week 22
BOS CELTICS, 0022201062, Mar 18, @ UTA, 118 - 117, Vivint Arena, Week 22
BOS CELTICS, 0022201081, Mar 21, @ SAC, 109 - 132, Golden 1 Center, Week 23
BOS CELTICS, 0022201097, Mar 24, vs IND, 95 - 120, TD Garden, Week 23
BOS CELTICS, 0022201116, Mar 26, vs SAS, 93 - 137, TD Garden, Week 23
BOS CELTICS, 0022201130, Mar 28, @ WAS, 130 - 111, Capital One Arena, Week 24
BOS CELTICS, 0022201146, Mar 30, @ MIL, 99 - 140, Fiserv Forum, Week 24
BOS CELTICS, 0022201152, Mar 31, vs UTA, 114 - 122, TD Garden, Week 24
BOS CELTICS, 0022201181, Apr 4, @ PHI, 103 - 101, Wells Fargo Center, Week 25
BOS CELTICS, 0022201192, Apr 5, vs TOR, 93 - 97, TD Garden, Week 25
BOS CELTICS, 0022201206, Apr 7, vs TOR, 102 - 121, TD Garden, Week 25
BOS CELTICS, 0022201216, Apr 9, vs ATL, 114 - 120, TD Garden, Week 25
BOS CELTICS, 0042200111, Apr 15, vs ATL, 99 - 112, TD Garden, BOS leads 1-0
BOS CELTICS, 0042200112, Apr 18, vs ATL, 106 - 119, TD Garden, BOS leads 2-0
BOS CELTICS, 0042200113, Apr 21, @ ATL, 130 - 122, State Farm Arena, BOS leads 2-1
BOS CELTICS, 0042200114, Apr 23, @ ATL, 121 - 129, State Farm Arena, BOS leads 3-1
BOS CELTICS, 0042200115, Apr 25, vs ATL, 119 - 117, TD Garden, BOS leads 3-2
BOS CELTICS, 0042200116, Apr 27, @ ATL, 120 - 128, State Farm Arena, BOS wins 4-2
BOS CELTICS, 0042200211, May 1, vs PHI, 119 - 115, TD Garden, PHI leads 1-0
BOS CELTICS, 0042200212, May 3, vs PHI, 87 - 121, TD Garden, Series tied 1-1
BOS CELTICS, 0042200213, May 5, @ PHI, 102 - 114, Wells Fargo Center, BOS leads 2-1
BOS CELTICS, 0042200214, May 7, @ PHI, 116 - 115, Wells Fargo Center, Series tied 2-2
BOS CELTICS, 0042200215, May 9, vs PHI, 115 - 103, TD Garden, PHI leads 3-2
BOS CELTICS, 0042200216, May 11, @ PHI, 86 - 95, Wells Fargo Center, Series tied 3-3
BOS CELTICS, 0042200217, May 14, vs PHI, 88 - 112, TD Garden, BOS wins 4-3
BOS CELTICS, 0042200301, May 17, vs MIA, 123 - 116, TD Garden, MIA leads 1-0
BOS CELTICS, 0042200302, May 19, vs MIA, 111 - 105, TD Garden, MIA leads 2-0
BOS CELTICS, 0042200303, May 21, @ MIA, 128 - 102, Kaseya Center, MIA leads 3-0
BOS CELTICS, 0042200304, May 23, @ MIA, 99 - 116, Kaseya Center, MIA leads 3-1
